NOTIFICATION_REFERENCE,NOTIF_DATE,ORIGIN_COUNTRY_DESC,NOTIFYNG_COUNTRY_DESC,PRODUCT_NAME,PRODUCT_CATEGORY_DESC,HAZARD_CATEGORY_NAME,substance,unauthorised_flag,NOTIFICATION_CLASSIFICAT_DESC,NOTIFICATION_BASIS_DESC,RISK_DECISION_DESC,DISTRIBUTION_STATUS_DESC,NOTIF_SUBJECT
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},acetamiprid,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},boscalid,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},cyprodinil,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},dimethomorph,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},dithiocarbamates,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},fluopyram,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},fluxapyroxad,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},iprovalicarb,True,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},lambda-cyhalothrin,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
2024.6338,2024-08-21,Türkiye,Germany,vine leaves in brine ,fruits and vegetables,Azoxystrobin   - {pesticide residues} *** Spirotetramat   - {pesticide residues} *** acetamiprid   - {pesticide residues} *** boscalid   - {pesticide residues} *** cyprodinil   - {pesticide residues} *** dimethomorph   - {pesticide residues} *** dithiocarbamates   - {pesticide residues} *** fluopyram   - {pesticide residues} *** fluxapyroxad   - {pesticide residues} *** iprovalicarb  unauthorised substance - {pesticide residues} *** lambda-cyhalothrin   - {pesticide residues} *** metrafenone    - {pesticide residues} *** pyrimethanil   - {pesticide residues},metrafenone,False,information notification for attention,official control on the market,serious,distribution restricted to notifying country,Pesticide residues in vine leaves in brine from Turkey
